Prediction_Id	status	act_status
441	known_chembl	
442	known	
443	known	
444	inactive	
445	no data	
446	no data	
447	known	
448	known	
449	no data	
450	known_chembl	
451	inactive	
452	no data	
453	known	
454	known	
455	inactive	
456	known	
457	known	
458	known_chembl	
459	known	
460	known	
461	known_chembl	
462	known	
463	known	
464	no data	
465	known_chembl	
466	known	
467	known	
468	known	
469	inactive	
470	known_chembl	
471	inactive	
472	known	
473	known_chembl	
474	known	
475	known	
476	known_chembl	
477	known	
478	known	
479	known	
480	inactive	
481	known	
482	no data	
483	inactive	
484	known	
485	known_chembl	
486	confirmed	10uM
487	confirmed	10uM
488	confirmed	10uM
489	no data	
490	known	
491	known	
492	known	
493	inactive	
494	known	
495	known	
496	known_chembl	
497	no data	
498	known_chembl	
499	known	
500	known	
501	known	
502	known	
503	known	
504	known_chembl	
505	known	
506	known	
507	known_chembl	
508	known	
509	known_chembl	
510	known	
511	known	
512	known_chembl	
513	known	
514	known	
515	known	
516	no data	
517	known	
518	known_chembl	
519	known_chembl	
520	known	
521	known	
522	known	
523	no data	
524	known	
525	known	
526	no data	
527	known_chembl	
528	known	
529	inactive	
530	known	
531	known	
532	confirmed	10uM
533	no data	
534	known_chembl	
535	inactive	
536	known	
537	known	
538	known_chembl	
539	known_chembl	
540	known	
541	known	
542	known_chembl	
543	known_chembl	
544	known	
545	known	
546	known	
547	known_chembl	
548	known	
549	known_chembl	
550	known	
551	known_chembl	
552	known	
553	confirmed	10uM
554	confirmed	1uM
555	known	
556	known	
557	known	
558	known_chembl	
559	known	
560	known	
561	no data	
562	known	
563	known_chembl	
564	known_chembl	
565	known	
566	known	
567	known	
568	no data	
569	inactive	
570	known	
571	inactive	
572	known_chembl	
573	known	
574	known	
575	known_chembl	
576	known	
577	no data	
578	known_chembl	
579	no data	
580	known_chembl	
581	no data	
582	known	
583	known	
584	known	
585	known	
586	known	
587	known_chembl	
588	known_chembl	
589	known	
590	known	
591	known	
592	known	
593	known	
594	known_chembl	
595	known_chembl	
596	known_chembl	
597	known	
598	confirmed	1uM
599	known_chembl	
600	known	
601	known_chembl	
602	known_chembl	
603	known_chembl	
604	known	
605	known_chembl	
606	known_chembl	
607	known	
608	known	
609	known	
610	known	
611	known_chembl	
612	known	
613	known	
614	known	
615	known	
616	known	
617	known	
618	known_chembl	
619	inactive	
620	known	
621	known	
622	known	
623	known	
624	no data	
625	known_chembl	
626	no data	
627	inactive	
628	inactive	
629	known_chembl	
630	known	
631	known	
632	inactive	
633	no data	
634	confirmed	>10uM
635	no data	
636	known_chembl	
637	inactive	
638	known	
639	inactive	
640	known	
641	known	
642	known_chembl	
643	inactive	
644	known	
645	confirmed	1uM
646	known	
647	known	
648	known	
649	known_chembl	
650	known	
651	known	
652	known	
653	known	
654	known	
655	known	
656	no data	
657	inactive	
658	known	
659	known	
660	known	
661	known	
662	known	
663	inactive	
664	inactive	
665	known	
666	known_chembl	
667	known	
668	known_chembl	
669	inactive	
670	confirmed	10uM
671	inactive	
672	known_chembl	
673	no data	
674	no data	
675	known_chembl	
676	known_chembl	
677	no data	
678	no data	
679	known_chembl	
680	known	
681	inactive	
682	known	
683	known	
684	inactive	
685	known	
686	confirmed	10uM
687	confirmed	10uM
688	known	
689	known	
690	known	
691	no data	
692	known	
693	known	
694	known	
695	known_chembl	
696	known	
697	known	
698	known	
699	no data	
700	inactive	
701	inactive	
702	known_chembl	
703	known_chembl	
